child_1,child_2,distance,n_observations
22.0,76.0,0.04394208721498183,2.0
50.0,81.0,0.05947477535782597,2.0
68.0,86.0,0.07177909386181003,2.0
3.0,142.0,0.07519154503272563,2.0
87.0,163.0,0.08511017878222871,2.0
66.0,95.0,0.08654536189243578,2.0
64.0,77.0,0.08687771521133214,2.0
16.0,74.0,0.09381952044356212,2.0
107.0,122.0,0.0980732934958165,2.0
63.0,137.0,0.10408603760111579,2.0
34.0,75.0,0.11087074115060247,2.0
9.0,106.0,0.11499830475439565,2.0
67.0,105.0,0.1162913169712948,2.0
100.0,149.0,0.12085024912956921,2.0
28.0,45.0,0.12489013326663989,2.0
119.0,189.0,0.13163436871565748,3.0
31.0,47.0,0.13250830375531364,2.0
40.0,52.0,0.13368199311498685,2.0
73.0,194.0,0.13494351558718692,3.0
190.0,192.0,0.13525823994032699,4.0
69.0,191.0,0.13769226267788814,3.0
135.0,188.0,0.14022408416769544,3.0
186.0,195.0,0.14129427810547884,4.0
103.0,172.0,0.1486060864718154,2.0
59.0,153.0,0.1515463754293792,2.0
140.0,151.0,0.15360453356048953,2.0
24.0,121.0,0.15461315083461447,2.0
30.0,185.0,0.158376055258387,3.0
162.0,181.0,0.15958805639457485,2.0
174.0,187.0,0.16255681736906102,3.0
17.0,111.0,0.1633091921623886,2.0
167.0,199.0,0.16349230977626478,3.0
170.0,173.0,0.16377149748917186,2.0
110.0,193.0,0.17004243474023178,3.0
20.0,196.0,0.17736809639883322,3.0
26.0,33.0,0.17798758136022552,2.0
116.0,124.0,0.17857365634133016,2.0
108.0,150.0,0.18121659831357573,2.0
29.0,48.0,0.1897091963234857,2.0
209.0,214.0,0.19198486338015308,5.0
39.0,54.0,0.19358770053352392,2.0
85.0,200.0,0.19411038166784592,4.0
37.0,210.0,0.19667860184197555,3.0
10.0,60.0,0.19693325424615682,2.0
198.0,216.0,0.19857292447146294,5.0
35.0,43.0,0.19956558832832216,2.0
8.0,25.0,0.20234538977160954,2.0
6.0,23.0,0.21215543629405387,2.0
82.0,83.0,0.21361637446427428,2.0
91.0,101.0,0.21674356071124357,2.0
97.0,136.0,0.21781059074161402,2.0
71.0,226.0,0.22441790688226104,5.0
127.0,152.0,0.2281974795370849,2.0
197.0,205.0,0.22966909407654368,5.0
175.0,179.0,0.22976351412781726,2.0
160.0,161.0,0.2340061979986645,2.0
79.0,229.0,0.23449028110312303,6.0
27.0,84.0,0.2346274434497554,2.0
57.0,62.0,0.23879913400174102,2.0
15.0,208.0,0.24046334351517495,3.0
61.0,236.0,0.24223860613790374,6.0
14.0,114.0,0.2456819034020402,2.0
5.0,11.0,0.24877354748087488,2.0
99.0,125.0,0.24947740882729297,2.0
206.0,207.0,0.24999302745171026,7.0
218.0,219.0,0.2506721563729492,6.0
80.0,202.0,0.25301689488151335,3.0
21.0,204.0,0.2554085029110425,5.0
115.0,215.0,0.26359168300367936,3.0
154.0,231.0,0.2675145656723279,3.0
38.0,134.0,0.2691023572107931,2.0
232.0,234.0,0.2755942372731969,4.0
2.0,222.0,0.2770971770964636,3.0
184.0,224.0,0.2790614920892797,6.0
51.0,90.0,0.2793001600712728,2.0
158.0,182.0,0.2798835233823048,2.0
123.0,146.0,0.2807210350501136,2.0
32.0,201.0,0.2830807742889296,3.0
93.0,252.0,0.28315111328386583,6.0
