image_name,cluster_label,pca_x,pca_y,plot_x,plot_y,tsne_x,tsne_y,distance_to_centroid,distance_to_medoid
image_0001,0,-0.357186973631215,4.834429048882038,-0.357186973631215,4.834429048882038,-2.6666915,3.028251,0.5501210982989289,0.5501210982989289
image_0002,0,2.094187263452539,19.225419823123488,2.094187263452539,19.225419823123488,-6.1157994,3.1764967,0.0,0.0
image_0003,0,8.497111254075271,7.599021456184091,8.497111254075271,7.599021456184091,-9.386074,1.7459244,0.6131686011305277,0.6131686011305277
image_0004,0,10.075866314504466,13.889248377974589,10.075866314504466,13.889248377974589,-5.5807033,2.6401742,0.2353008749287141,0.2353008749287141
image_0005,0,-12.082657742971579,15.448568841055204,-12.082657742971579,15.448568841055204,-6.4023185,4.7206707,0.2929088144289189,0.2929088144289189
image_0006,0,15.9306592948467,15.586342864473904,15.9306592948467,15.586342864473904,-6.0597944,1.6722085,0.2414592330192693,0.2414592330192693
image_0007,0,2.4375392702653604,8.446252446577944,2.4375392702653604,8.446252446577944,-5.672391,0.88113165,0.347981007918468,0.347981007918468
image_0008,0,8.688942270441803,3.4587265486005787,8.688942270441803,3.4587265486005787,-2.2668183,3.3191602,0.5954894179349519,0.5954894179349519
image_0009,0,4.507192781474399,-4.962382411170877,4.507192781474399,-4.962382411170877,1.451487,-2.3299696,1.310351264080623,1.310351264080623
image_0010,0,-2.504354729125278,10.27939496045403,-2.504354729125278,10.27939496045403,-5.8229117,5.413504,0.38179282409769943,0.38179282409769943
image_0011,0,15.354255224077924,15.719690146216978,15.354255224077924,15.719690146216978,-8.600402,1.41498,0.40967469005535373,0.40967469005535373
image_0012,1,5.9608820187431455,-6.175129782448516,5.9608820187431455,-6.175129782448516,3.9231482,-3.7507024,0.7300575191273925,0.7300575191273925
image_0013,0,4.281710094326512,1.244758880305301,4.281710094326512,1.244758880305301,-3.4154305,-6.2918243,0.9180043607959826,0.9180043607959826
image_0014,0,-1.377011481199903,5.6961827349024245,-1.377011481199903,5.6961827349024245,-9.589394,0.31194016,0.8031458374618086,0.8031458374618086
image_0015,0,20.612054470450058,13.004172011949024,20.612054470450058,13.004172011949024,-6.644555,0.8641106,0.2425967802226251,0.2425967802226251
image_0016,1,-9.964368296345734,-0.5778201904300048,-9.964368296345734,-0.5778201904300048,0.34069142,3.4898303,0.9814354211702291,0.9814354211702291
image_0017,0,5.378803721334367,5.970523223444133,5.378803721334367,5.970523223444133,-2.6108577,4.178113,0.39529410505999374,0.39529410505999374
image_0018,1,1.3168412077110516,-3.6097318973507364,1.3168412077110516,-3.6097318973507364,4.863699,2.6516376,0.7856120622970745,0.7856120622970745
image_0019,0,1.415340316414295,3.897076883935075,1.415340316414295,3.897076883935075,-3.8625565,3.0106223,0.6565449300472641,0.6565449300472641
image_0020,1,6.036987007478523,-3.136926689194054,6.036987007478523,-3.136926689194054,5.8364005,3.351161,1.0589313069917201,1.0589313069917201
image_0021,0,9.539282934208723,14.646557065345084,9.539282934208723,14.646557065345084,-8.296859,0.45726827,0.45774177909114244,0.45774177909114244
image_0022,0,-3.903766277199871,-3.22381742147595,-3.903766277199871,-3.22381742147595,3.5717983,2.5841646,1.0178256062823499,1.0178256062823499
image_0023,0,-13.004962998710564,-1.0808957910781658,-13.004962998710564,-1.0808957910781658,-1.6790198,3.8029788,0.7097359368234122,0.7097359368234122
image_0024,0,14.17094238087226,8.21369516794579,14.17094238087226,8.21369516794579,-6.716257,-0.87541586,0.4704397832170676,0.4704397832170676
image_0025,0,8.00984507946713,9.184361252772666,8.00984507946713,9.184361252772666,-6.58957,2.0299923,0.293078445970937,0.293078445970937
image_0026,0,56.86131377812832,4.4598706459399295,56.86131377812832,4.4598706459399295,3.5664544,-8.251872,0.9461540564455027,0.9461540564455027
image_0027,1,67.70193826637474,1.6025623782984884,67.70193826637474,1.6025623782984884,-1.6754354,0.22188066,0.6521324311388343,0.6521324311388343
image_0028,1,69.70785268629047,-5.11373377560611,69.70785268629047,-5.11373377560611,1.0548342,-1.2266899,0.5419697138657676,0.5419697138657676
image_0029,1,65.95969169509621,-11.72101716575823,65.95969169509621,-11.72101716575823,2.918515,-0.6741954,0.3296597079252971,0.3296597079252971
image_0030,1,52.616240184387784,-5.757073431678852,52.616240184387784,-5.757073431678852,2.648647,0.2773373,0.33496939489660316,0.33496939489660316
image_0031,1,16.16748842000304,-4.0410636765292205,16.16748842000304,-4.0410636765292205,5.5278544,3.260793,0.939418474897788,0.939418474897788
image_0032,0,74.63553063308386,14.328631469077939,74.63553063308386,14.328631469077939,-6.747606,-0.07414844,0.5032387719403557,0.5032387719403557
image_0033,1,51.73950804584521,-14.799745680798818,51.73950804584521,-14.799745680798818,3.1609237,-0.92701256,0.0,0.0
image_0034,1,88.23184273077098,-8.127488739834716,88.23184273077098,-8.127488739834716,2.4258883,-0.7791502,0.16465717724118556,0.16465717724118556
image_0035,1,70.54448783047246,-2.5171568386165957,70.54448783047246,-2.5171568386165957,1.6481473,5.4402385,0.5261516241319074,0.5261516241319074
image_0036,1,39.835330041494565,-5.837277093593093,39.835330041494565,-5.837277093593093,2.7359238,1.7613477,0.6079127072747588,0.6079127072747588
