image_name,cluster_label,pca_x,pca_y,plot_x,plot_y,tsne_x,tsne_y,distance_to_centroid,distance_to_medoid
image_0001,1,27.37246456888847,2.2622002492593167,27.37246456888847,2.2622002492593167,6.07466,0.16397174,1.1140661408904255,1.1140661408904255
image_0002,1,31.391892294794218,-4.733325603317085,31.391892294794218,-4.733325603317085,-8.2761755,-2.5667698,0.7210284408532004,0.7210284408532004
image_0003,1,34.13401004236142,-14.124360000215614,34.13401004236142,-14.124360000215614,4.515235,4.5911098,0.9830680326292268,0.9830680326292268
image_0004,1,49.471011706225944,-10.752663687920275,49.471011706225944,-10.752663687920275,6.124199,3.938828,1.1002092472275145,1.1002092472275145
image_0005,1,36.03385849230356,-17.918290860795523,36.03385849230356,-17.918290860795523,3.8391979,4.377548,0.9250607322698174,0.9250607322698174
image_0006,0,26.647327181780753,6.101755217452264,26.647327181780753,6.101755217452264,0.9469092,-3.34385,0.9565133596510267,0.9565133596510267
image_0007,0,16.75637906753796,4.948892752048312,16.75637906753796,4.948892752048312,4.3230996,-3.926246,0.7668588406750829,0.7668588406750829
image_0008,1,16.19647588863714,3.6164141148664584,16.19647588863714,3.6164141148664584,-7.1475935,-1.9863362,0.6101224066424848,0.6101224066424848
image_0009,1,-17.783368490439678,-3.775622859382566,-17.783368490439678,-3.775622859382566,-1.6480864,4.0391006,0.7006147094611306,0.7006147094611306
image_0010,1,35.085137104499275,-4.313051595034558,35.085137104499275,-4.313051595034558,6.2453,1.0240387,1.5924765944514,1.5924765944514
image_0011,1,41.27177454198163,-7.0090549359435155,41.27177454198163,-7.0090549359435155,6.0339713,2.0594084,1.3255663692596407,1.3255663692596407
image_0012,1,6.079468515873767,-9.20705780556704,6.079468515873767,-9.20705780556704,5.3278265,5.294073,0.9634609969406835,0.9634609969406835
image_0013,1,0.8532895735437438,-7.668478003131668,0.8532895735437438,-7.668478003131668,4.4304543,2.3351648,1.0392710736852366,1.0392710736852366
image_0014,1,5.180523909465861,-21.102757812010005,5.180523909465861,-21.102757812010005,5.0321803,3.3367763,1.0635494404534351,1.0635494404534351
image_0015,1,40.82015978391326,4.691268802176737,40.82015978391326,4.691268802176737,5.6646156,-5.2507477,0.9188449117105835,0.9188449117105835
image_0016,1,32.31521433680829,10.140896097101617,32.31521433680829,10.140896097101617,-6.7121563,-2.9948907,1.01819418671862,1.01819418671862
image_0017,0,34.11952831118338,1.4602297536055058,34.11952831118338,1.4602297536055058,5.90731,-6.77942,1.189182259756318,1.189182259756318
image_0018,1,38.801491212411705,4.144761818537013,38.801491212411705,4.144761818537013,6.061212,0.14807,1.51884394763746,1.51884394763746
image_0019,0,15.940083343575957,6.305970098044953,15.940083343575957,6.305970098044953,4.6013613,-4.338018,0.626080182932431,0.626080182932431
image_0020,1,14.350783921672527,2.267108924553539,14.350783921672527,2.267108924553539,-7.623073,0.23438437,0.6102552456625918,0.6102552456625918
image_0021,1,36.461505861671434,-13.581531437179315,36.461505861671434,-13.581531437179315,6.113673,3.7559178,0.9706120651022069,0.9706120651022069
image_0022,1,17.322482383943292,0.11304860244129966,17.322482383943292,0.11304860244129966,-7.8570538,-2.881064,0.930472993424826,0.930472993424826
image_0023,0,24.84576596659961,16.195465782555765,24.84576596659961,16.195465782555765,3.0814214,-4.9802146,0.44502226508795495,0.44502226508795495
image_0024,1,22.27085667569318,-4.428869123721706,22.27085667569318,-4.428869123721706,0.5765626,4.4282684,0.8957669989437577,0.8957669989437577
image_0025,1,37.0082971910165,-5.04367435472163,37.0082971910165,-5.04367435472163,-7.831003,4.249941,0.6532546636021637,0.6532546636021637
image_0026,1,9.954394643472432,-6.227880844783935,9.954394643472432,-6.227880844783935,-3.815362,5.0985985,0.4892434789107335,0.4892434789107335
image_0027,0,12.496996593876373,5.328956720479474,12.496996593876373,5.328956720479474,-0.49288374,-0.929973,0.661584010016973,0.661584010016973
image_0028,0,16.228238148473825,3.4893419631824156,16.228238148473825,3.4893419631824156,-0.91474444,-0.45984444,0.816623467031167,0.816623467031167
image_0029,1,9.238056981778286,-4.1629246736450165,9.238056981778286,-4.1629246736450165,-2.511741,3.7436252,0.7078778004094544,0.7078778004094544
image_0030,0,11.304292493067132,3.4053498649154834,11.304292493067132,3.4053498649154834,-0.06425847,-0.96599716,0.6845586828775573,0.6845586828775573
image_0031,0,21.32428980335276,12.010418508653744,21.32428980335276,12.010418508653744,4.2722635,-5.1254454,0.6026741702310275,0.6026741702310275
image_0032,1,39.856028041525846,-11.791590711318234,39.856028041525846,-11.791590711318234,3.6817148,5.1698403,1.0167492471602186,1.0167492471602186
image_0033,1,4.912261581461191,-8.480452751637985,4.912261581461191,-8.480452751637985,-0.89839303,4.442641,0.6191521881295995,0.6191521881295995
image_0034,0,3.0181120279488853,5.282828154825649,3.0181120279488853,5.282828154825649,-0.28071505,-1.8851768,0.47869033927158255,0.47869033927158255
image_0035,0,13.295107673575865,5.535320501908453,13.295107673575865,5.535320501908453,3.3023272,-2.619867,0.7757571253422034,0.7757571253422034
image_0036,1,34.11287568267855,16.69157510602542,34.11287568267855,16.69157510602542,-1.6726097,-3.399633,0.9483100642920341,0.9483100642920341
image_0037,0,39.15758175817248,5.476328358120742,39.15758175817248,5.476328358120742,3.4130707,-3.0864837,0.917507378172253,0.917507378172253
image_0038,0,6.035265812492945,4.263825499592135,6.035265812492945,4.263825499592135,6.9912534,-3.3813975,0.6213912874405307,0.6213912874405307
image_0039,1,4.47461628417438,2.2011793329013583,4.47461628417438,2.2011793329013583,-4.8703256,1.5354373,0.34763713841108124,0.34763713841108124
image_0040,0,0.4751996911894512,4.963339615050404,0.4751996911894512,4.963339615050404,6.6434593,-2.9434388,0.5270608469479756,0.5270608469479756
image_0041,1,1.8108846698521246,6.212110714587131,1.8108846698521246,6.212110714587131,-1.724685,-2.8434174,1.2322890016366361,1.2322890016366361
image_0042,1,24.290530020426914,7.04919523935137,24.290530020426914,7.04919523935137,-6.1442347,-4.3206267,1.0510499051646034,1.0510499051646034
image_0043,1,21.308571923262043,-1.0836354140352071,21.308571923262043,-1.0836354140352071,6.202593,-4.706391,0.8424142143660657,0.8424142143660657
image_0044,1,29.64747005034639,-5.561009455873578,29.64747005034639,-5.561009455873578,2.8878796,5.194529,1.1212288579169989,1.1212288579169989
image_0045,1,20.660589876320792,4.063887785596372,20.660589876320792,4.063887785596372,-3.8163733,-2.1175134,0.7566601900749746,0.7566601900749746
image_0046,0,21.688294567358998,10.83774534353818,21.688294567358998,10.83774534353818,1.7535248,-3.8644843,0.6841176335865176,0.6841176335865176
image_0047,1,22.467046590153604,-2.882408351020838,22.467046590153604,-2.882408351020838,-5.319181,-1.1973832,0.6563136831023431,0.6563136831023431
image_0048,1,18.46874739306477,-8.415263597389512,18.46874739306477,-8.415263597389512,6.6161427,3.0144064,1.1225052563340077,1.1225052563340077
image_0049,0,14.768482017655398,4.010322798909433,14.768482017655398,4.010322798909433,-3.79247,-5.1582437,0.7940521484306564,0.7940521484306564
image_0050,1,27.742223632199288,-11.266835006495715,27.742223632199288,-11.266835006495715,-2.774647,4.9869056,0.5019174525965939,0.5019174525965939
image_0051,1,12.827538928110744,-14.698627809342607,12.827538928110744,-14.698627809342607,4.253174,3.8481724,1.1084036530115557,1.1084036530115557
