source_file,result_csv,model,roi,n_images,n_voxels,clustering_method,distance_metric,linkage_method,normalization,best_k,silhouette,cluster_sizes,linkage_csv,dendrogram_png,distance_to_cluster_representative
murtylab_densenet201_nsd_1000_ffa_20260410225008546Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ffa_20260410225008546Z_clusters.csv,densenet201,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.3182277707834805,"{'0': 78, '1': 107}",public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ffa_20260410225008546Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ffa_20260410225008546Z_dendrogram.png,medoid_correlation_distance
murtylab_densenet201_nsd_1000_ppa_20260410225057212Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ppa_20260410225057212Z_clusters.csv,densenet201,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.4978901665452001,"{'0': 66, '1': 119}",public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ppa_20260410225057212Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_densenet201_nsd_1000_ppa_20260410225057212Z_dendrogram.png,medoid_correlation_distance
murtylab_dinov2_large_nsd_1000_eba_20260410225612374Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_eba_20260410225612374Z_clusters.csv,dinov2_large,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.3586722808060379,"{'0': 60, '1': 64, '2': 61}",public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_eba_20260410225612374Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_eba_20260410225612374Z_dendrogram.png,medoid_correlation_distance
murtylab_dinov2_large_nsd_1000_ffa_20260410225534603Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ffa_20260410225534603Z_clusters.csv,dinov2_large,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.3442532000101142,"{'0': 92, '1': 93}",public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ffa_20260410225534603Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ffa_20260410225534603Z_dendrogram.png,medoid_correlation_distance
murtylab_dinov2_large_nsd_1000_ppa_20260410225648367Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ppa_20260410225648367Z_clusters.csv,dinov2_large,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.4921298294953821,"{'0': 65, '1': 120}",public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ppa_20260410225648367Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dinov2_large_nsd_1000_ppa_20260410225648367Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb16_nsd_1000_eba_20260410230011072Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_eba_20260410230011072Z_clusters.csv,dreamsim_vitb16,eba,185,2045,hierarchical,correlation,average,voxel_zscore,2,0.24622351414511326,"{'0': 85, '1': 100}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_eba_20260410230011072Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_eba_20260410230011072Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb16_nsd_1000_ffa_20260410225944640Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ffa_20260410225944640Z_clusters.csv,dreamsim_vitb16,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.24587235082856573,"{'0': 78, '1': 107}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ffa_20260410225944640Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ffa_20260410225944640Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb16_nsd_1000_ppa_20260410230044758Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ppa_20260410230044758Z_clusters.csv,dreamsim_vitb16,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.5022655381795014,"{'0': 93, '1': 92}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ppa_20260410230044758Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb16_nsd_1000_ppa_20260410230044758Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb32_nsd_1000_eba_20260410230200283Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_eba_20260410230200283Z_clusters.csv,dreamsim_vitb32,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.3944608066853844,"{'0': 76, '1': 59, '2': 50}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_eba_20260410230200283Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_eba_20260410230200283Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb32_nsd_1000_ffa_20260410230137468Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ffa_20260410230137468Z_clusters.csv,dreamsim_vitb32,ffa,185,716,hierarchical,correlation,average,voxel_zscore,4,0.25457820497088973,"{'0': 61, '1': 68, '2': 18, '3': 38}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ffa_20260410230137468Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ffa_20260410230137468Z_dendrogram.png,medoid_correlation_distance
murtylab_dreamsim_vitb32_nsd_1000_ppa_20260410230221436Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ppa_20260410230221436Z_clusters.csv,dreamsim_vitb32,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.6075768325185281,"{'0': 85, '1': 100}",public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ppa_20260410230221436Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_dreamsim_vitb32_nsd_1000_ppa_20260410230221436Z_dendrogram.png,medoid_correlation_distance
murtylab_efficient_net_nsd_1000_eba_20260410230352513Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_eba_20260410230352513Z_clusters.csv,efficient_net,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.40433408011159566,"{'0': 64, '1': 54, '2': 67}",public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_eba_20260410230352513Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_eba_20260410230352513Z_dendrogram.png,medoid_correlation_distance
murtylab_efficient_net_nsd_1000_ffa_20260410230328651Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ffa_20260410230328651Z_clusters.csv,efficient_net,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.41367710120072615,"{'0': 99, '1': 86}",public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ffa_20260410230328651Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ffa_20260410230328651Z_dendrogram.png,medoid_correlation_distance
murtylab_efficient_net_nsd_1000_ppa_20260410230414513Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ppa_20260410230414513Z_clusters.csv,efficient_net,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.5601322814873504,"{'0': 82, '1': 103}",public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ppa_20260410230414513Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_efficient_net_nsd_1000_ppa_20260410230414513Z_dendrogram.png,medoid_correlation_distance
