image_name,cluster_label,pca_x,pca_y,tsne_x,tsne_y,distance_to_centroid
image_0001,1,-5.059014443441163,-1.4068239570085104,1.831615,-4.1576242,4.064677885835489
image_0002,0,12.143948727726297,-3.2707316819814958,-7.2625136,10.792155,6.145198572542547
image_0003,1,-0.714005703318005,0.5762864936022288,-0.12012738,0.78060585,6.498967136098709
image_0004,0,8.22479762480833,-0.9194714177832936,-4.092561,9.210098,5.733341511261047
image_0005,0,6.32038233670758,3.112447758070879,-1.7457339,7.9150534,5.555750638683824
image_0006,0,4.571286691654649,-3.320085695435919,-5.1275473,6.3635397,6.243152381869654
image_0007,0,5.175874457090883,-2.5419265538750864,-4.821518,7.0226426,5.891461785079108
image_0008,0,5.0044714876743495,-6.031619104256616,-6.5663004,5.4901204,8.273019431720307
image_0009,0,20.64649136465866,-1.639320047264928,-8.15322,14.998229,11.897219245914881
image_0010,1,-3.4295604565345794,-8.674739147792538,-2.2077515,-7.229427,10.383849105285432
image_0011,1,0.03428935627834107,-5.433220493708025,-2.9457319,-4.0024314,9.875700279349898
image_0012,1,-5.379043955976997,-1.8743101471505959,0.84766597,-5.975358,3.780489130710287
image_0013,0,9.082818072453716,1.82056038691545,-3.4663107,9.941078,6.2757689055708905
image_0014,1,-4.708510722760592,-0.06362978622767679,1.4922445,-3.5521166,3.0071624140725
image_0015,0,11.717401384868234,-2.130873848780221,-4.927194,12.026713,5.7067851886488326
image_0016,0,5.431292257986763,-0.8517858482837918,-3.340004,6.2178464,5.566991303638478
image_0017,0,13.35123096923241,1.716144788088089,-3.707849,12.018321,6.202324787205635
image_0018,0,5.23347746086603,-0.44879087927330735,-4.2555575,5.4088387,5.850273903939475
image_0019,1,-10.470865543010548,-0.8393783913216232,3.5244555,-8.414985,7.4344654488238
image_0020,0,3.946358134287511,1.3064970884168832,-2.1450937,6.041965,6.619986820153762
image_0021,0,4.344538863787374,2.9784955591607214,-1.3763555,6.8446136,7.3516254038438404
image_0022,0,8.70751754337123,5.179063875923262,-1.5382566,10.534743,7.735385099580576
image_0023,0,3.868387814516162,0.07199958729092598,-2.575565,4.8227944,6.969094949584516
image_0024,0,4.724023741701389,-2.2159237220295465,-4.3856187,6.8345747,6.522916028537486
image_0025,0,10.039427489994743,-2.852824055852406,-5.637227,11.00214,4.054911662316161
image_0026,0,11.56061942660779,-8.48292412491083,-9.160727,11.243521,9.43759481525442
image_0027,0,15.168731262140064,-3.044042048514828,-7.662848,13.541021,7.2990671434449
image_0028,0,13.430201076689405,-0.00016002555600489666,-6.5155287,12.98249,4.815330229777922
image_0029,0,17.089610089109293,-2.145935475082214,-7.323356,14.278009,8.30878491294501
image_0030,1,-5.641510095935793,-8.399222716283179,-1.6771156,-7.7107854,9.190278866384265
image_0031,0,17.68732341677172,-0.40239689337738127,-6.5487247,14.608226,8.903385384339224
image_0032,0,6.976521525272909,-7.49251482523503,-8.803381,8.463537,10.333224099258791
image_0033,0,14.861206525081014,-1.7346479268326764,-7.7870727,13.24551,7.458676591405655
image_0034,0,15.657755819765855,-5.695658785745289,-9.080385,12.88665,9.839276606735105
image_0035,0,10.060669648529906,-8.268690128686831,-9.147994,10.868067,8.915437478809146
image_0036,0,31.236311893039296,-2.507565094067969,-8.389394,16.15157,22.289041818483184
image_0037,0,15.004867188233527,-1.314439800760574,-6.9967914,13.355153,5.797882768370614
image_0038,0,4.955729595974204,0.6583995245897194,-6.349979,7.840335,7.784245204908721
image_0039,0,19.853268736095252,-3.2391623800622407,-8.732117,14.550712,12.254853413222687
image_0040,0,8.198046543256321,0.5736330039678361,-6.4202642,8.636496,4.324869339744063
image_0041,0,10.717591375523465,1.3056887813547293,-5.765747,12.528114,4.0707828169324305
image_0042,0,10.33110195169763,-0.09672197436591616,-4.8162894,10.724512,2.48257248006953
image_0043,0,18.535351044589387,6.045911389878207,-5.7082863,15.166724,11.68169689438071
image_0044,0,21.08896429838369,2.3986071493751826,-6.7544637,16.077696,13.43791432521027
image_0045,0,9.35687417347839,-0.29336423330636213,-6.897113,9.853264,6.22882510870196
image_0046,0,9.83280830525107,-9.801117919418939,-9.261572,10.056675,10.36189020950752
image_0047,0,19.021087278651184,-3.2508559053295936,-8.164584,14.377452,10.5144041299374
image_0048,0,20.720886510207848,-4.618429503982434,-7.6873574,15.168385,12.107133246733431
image_0049,0,15.154632068342151,-0.06413456493703147,-6.5777245,13.667997,5.9826864438881895
image_0050,0,15.52625683653859,-4.993185917990357,-8.304088,13.060432,7.962768267771419
image_0051,1,-4.434801728903832,-3.2485772112953595,-2.9243248,-5.431657,8.279247679570688
image_0052,1,-15.54066791985619,-1.4349916603298198,6.6205,-11.337702,9.7606808343699
image_0053,1,-11.518916951941302,-5.082042393381472,3.6495917,-11.058656,7.851707672623317
image_0054,1,-5.61423477458154,8.197285640336553,6.2387733,1.0665891,8.87941964565073
image_0055,1,-10.707754345933346,-0.5036084596393774,5.4729576,-9.223961,4.6167974048592635
image_0056,1,-7.4477142436900925,1.6143506567520152,5.700922,-5.1272964,3.37914828401737
image_0057,1,-1.1121604848239781,7.833530508891692,4.846872,2.5395246,9.973425569722366
image_0058,1,-9.056134328818128,1.0560964187975639,7.4728804,-6.713287,4.816606281379084
image_0059,1,-1.298615742221434,9.015701553456106,5.435426,2.841473,11.263642834760867
image_0060,1,-12.010288362709195,-5.9543222372413585,3.5825317,-11.464049,8.435633718678316
image_0061,1,-8.817112670138462,3.052215647176736,8.576147,-4.534935,5.688357323802111
image_0062,0,3.565649748956253,4.555708807158769,-0.5310911,6.1775446,8.179668049003707
image_0063,1,-10.77190986080411,4.923501075532647,8.248846,-5.238825,6.845453931766192
image_0064,1,-4.983291497180802,5.722710740909167,6.032339,0.33618826,7.057541675233553
image_0065,1,-8.597975560916165,1.9823007476491323,6.243302,-5.9396996,3.6173531176903753
image_0066,1,-7.358411534553303,4.7727532686588585,7.2089143,-3.085628,5.826208492650946
image_0067,1,-2.3933610854568363,2.1322787277974333,1.5393021,-0.69828963,5.070505881784657
image_0068,1,-6.445003377400027,2.2660984146886487,4.639523,-3.3924358,2.980122368727009
image_0069,1,-4.5893895106114435,3.9078933332499663,6.160264,-0.4782084,6.257876195707912
image_0070,1,-5.453136890431851,7.616755844773929,6.8996525,0.44581857,9.125551949185994
image_0071,1,-10.8698015025521,-2.2270935746578626,4.535399,-10.22063,5.798182223593668
image_0072,1,-11.972614156580569,-1.5706668946742897,5.3028955,-10.117344,6.189265578962967
image_0073,0,7.308548382451306,-3.536595092490094,-7.4744325,8.129271,6.304515230489568
image_0074,1,-6.378247130465391,-0.2081256481901446,2.7666376,-5.020542,2.408941728318631
image_0075,0,2.345048066283785,11.488179018996595,5.1034026,4.3782625,14.84719638772397
image_0076,1,-1.5652078185977212,7.842559904913176,3.3029668,2.1702108,10.966810371225275
image_0077,0,4.961227863112623,1.0364147208558339,-2.2869093,6.432682,6.390246967832949
image_0078,1,-10.120034161773827,3.874582640645407,7.171887,-4.481062,5.450313288685017
image_0079,1,-4.380928905564386,0.46512781783417334,1.95073,-2.6932204,4.081885462429343
image_0080,1,-0.08617497080605019,4.886850368251358,3.4214065,3.3387957,9.058073057871436
image_0081,1,-7.764387996451227,2.0687357127640977,5.960769,-3.6254718,3.7478892202562415
image_0082,1,-11.718308480597432,0.8875056591296226,6.752204,-9.073629,5.854637822255294
image_0083,1,-5.497993215672391,-2.0113367874989376,1.0364109,-6.3288713,4.40332664916472
image_0084,1,-7.684261841029594,1.4522164702879061,5.0243726,-5.349822,3.2386812140629853
image_0085,1,-13.416080248975364,0.3128805516581634,6.863665,-10.167992,7.521718952355074
image_0086,1,-1.8601880871193779,8.730501554176591,5.5356135,1.9219483,10.233214870960603
image_0087,1,-4.727901615145142,2.803739713695157,3.722466,-1.3784815,5.245541149044145
image_0088,1,-12.904859298147375,-1.0262907548737354,5.9732175,-10.512175,7.052269180353141
image_0089,1,-2.347476838958465,12.89904163070609,5.690028,3.6282485,13.853086485465639
image_0090,1,-1.7263885548369424,3.928156690423637,2.466933,1.2409223,7.679902270095928
image_0091,1,-11.592792562626578,2.3182016660849127,7.5567746,-7.9219356,6.265768915867681
image_0092,0,8.615931074885756,13.098549024235593,0.6618648,9.133515,14.253420604591348
image_0093,0,2.3093327900475598,14.137822481070147,5.237593,4.389817,16.3512935072375
image_0094,1,-4.714702164200239,3.7401863143335734,5.5353622,-0.9458693,4.878692441641627
image_0095,1,-15.857326228365709,1.9153569147974268,7.6795306,-10.032338,9.601656553126274
image_0096,1,-7.224409492821246,2.45626080059561,4.8571396,-3.8379254,3.802495206831205
image_0097,1,-18.497846105905403,-4.366491285267482,5.9842873,-12.266859,13.086632171942622
image_0098,1,-4.499188053741495,7.213254572546783,4.7718744,0.99901843,7.672465284874585
image_0099,1,-0.970014720889569,6.62571915784958,4.6067395,2.265627,9.02811812259206
image_0100,1,-8.622367109596595,5.475699250209033,8.553823,-4.290581,7.1834127664076775
image_0101,0,2.49071266252674,2.2908880758058237,-1.3147635,4.6884656,7.874592684475201
image_0102,0,5.378772118019927,-2.4307989080337733,-5.2173405,5.7810173,5.204052743760665
image_0103,0,11.903601253986833,-1.3331767774529282,-5.7837696,11.61971,3.0001196663942697
image_0104,0,12.176303888404783,0.042112508703514684,-4.0625505,11.394659,5.267851475648752
image_0105,0,1.9438005980131696,1.2168464421730905,-0.066088825,2.6980202,9.08495776382515
image_0106,0,3.351169401544365,-4.395555947327411,-6.46851,6.096322,8.034156689276063
image_0107,0,6.331100049352941,-1.6794920544903653,-4.568949,7.76505,5.177970274659981
image_0108,1,-2.2024390258580264,-2.8424344870936817,-1.2236974,-4.3309364,5.947311586134321
image_0109,1,-2.591981071890901,-4.532982061537444,-0.95957315,-5.1267567,6.509734703162663
image_0110,0,6.496031555917456,-0.18917378727681808,-3.924011,8.011091,5.324419642018201
image_0111,0,4.4063742787588795,-1.6428335753993835,-4.306132,6.7463655,6.3236680787050785
image_0112,1,-3.629550022987422,-5.394942784556449,-1.303003,-6.309728,7.084848688018312
image_0113,0,10.012152567819648,0.635991721645761,-4.633023,10.552565,3.0218608729370406
image_0114,0,4.3841220593479555,2.0146657900940856,-1.6130606,5.382887,6.185172292289235
image_0115,0,11.121091560492804,-2.972747264355837,-6.1220684,11.247826,4.1450964614974
