image_name,cluster_label,pca_x,pca_y,tsne_x,tsne_y,distance_to_centroid
image_0001,0,1.487818241216754,-1.0083392393599682,0.9037378,-0.22952533,20.12648344629862
image_0002,0,-11.271484401474032,-2.08168781025848,-4.808951,1.4484339,12.183291067684408
image_0003,0,-23.017507957222687,0.327029819274612,-8.775222,2.875184,12.376297054390255
image_0004,0,-18.762792246684175,0.29567509496653693,-7.4755063,2.523626,12.179722106812276
image_0005,0,-28.268512717951143,1.8321316859973256,-10.18333,4.9196734,21.315326890253903
image_0006,0,-3.60367869563117,6.543164326447312,-0.42753214,-2.879064,19.45263103940786
image_0007,0,-20.629268932868285,2.375134478758405,-11.045648,1.2304833,18.014776564814206
image_0008,0,4.442322701173379,1.6312498738328989,1.5361068,-1.4571824,19.361373804292427
image_0009,0,-9.56392124350502,-1.4763697894457266,-3.611255,1.4010297,10.94772747608703
image_0010,0,-22.146879367120746,-0.8247145876123333,-8.533029,3.5737705,14.04352080915114
image_0011,0,-31.179193269036237,4.551055691335632,-11.209336,4.513175,20.93217419026561
image_0012,0,-21.125206521532437,7.201666717809105,-9.754592,3.0924952,13.938557187210595
image_0013,0,-7.392247552681083,2.724008510740865,-2.0635734,1.1537389,13.256544041721256
image_0014,0,-19.348710147632897,0.5198151896137212,-9.979101,1.4629645,13.307867113489053
image_0015,0,-24.355973864046714,-2.0786181186875634,-8.878117,3.053252,13.802780384845088
image_0016,0,-16.242714037102065,-3.9725046147093677,-9.068225,0.4696631,13.284358407499527
image_0017,0,-2.8100080712628714,1.2678495141981103,-0.40475607,-1.7665913,13.788448471557453
image_0018,0,-6.081687955104836,-0.999823570337922,-1.9232042,0.9047511,10.431777043866632
image_0019,0,-3.246820495256004,0.9759981963347564,-0.45786783,-1.3825942,14.519092900261162
image_0020,0,-15.92202440345983,-0.7610429903468703,-9.414792,0.92098224,10.442670210082161
image_0021,0,-22.417845128364295,1.6677656480171972,-8.982793,3.434064,12.479634293896845
image_0022,0,5.759514007075732,-0.4177290751949539,1.557738,-1.3658276,22.589416044503043
image_0023,0,6.070458400878044,2.013078352658444,3.0719552,-1.480405,23.84692273848644
image_0024,0,-16.271627620940173,-5.269065244397043,-5.9732428,1.7527784,12.578394155665405
image_0025,0,-26.361068167953853,2.7616627992300096,-10.031164,3.845237,17.536374094659347
image_0026,0,-7.27315087176139,-7.131229837188186,-2.4902852,-1.005055,13.106642852801674
image_0027,0,-18.24703469185424,3.0660375014158245,-10.331749,1.1803826,14.489348116487323
image_0028,0,-32.67988680963248,9.954625165445213,-12.184133,4.2173166,25.468205869885566
image_0029,0,-31.402764437110047,8.28532495266876,-11.779039,4.650845,22.236533047392598
image_0030,0,-25.18746310966892,1.3532519159463208,-11.245053,2.2989147,18.668847505319523
image_0031,0,3.26770446944695,4.803496012889487,2.7338097,-1.7230775,21.172417956990436
image_0032,0,-23.25624719444625,-1.7701426741083164,-8.453717,2.2935033,14.70163231869825
image_0033,0,-30.923887252648612,9.544399773618778,-12.320092,3.6399624,23.964551031670087
image_0034,0,-45.23904971590903,5.643638438465954,-13.515163,4.540763,34.07268208721164
image_0035,0,-33.906128943226385,12.43152677456487,-12.758123,4.936131,27.719422282080867
image_0036,0,-35.58299422198815,9.06397557249252,-12.789029,4.503206,26.94547053876166
image_0037,0,-18.067004478036644,7.136080772714926,-10.371955,0.9071744,15.9465563846823
image_0038,1,11.258406767341945,7.991260859548816,4.854799,-2.840605,18.92872088074102
image_0039,0,-21.622708078573545,-8.828936056982826,-7.223439,1.4474231,14.416861018837963
image_0040,0,-4.952317343287985,-5.518480328348246,-1.8911021,-1.919662,17.288487303911776
image_0041,0,-16.803655116087334,6.174366689049349,-10.116807,1.6996677,13.796330503903329
image_0042,0,-4.640056242203168,-1.845052086482172,-1.1182319,-0.84050614,11.753303164871449
image_0043,0,-26.977658172450298,-2.1834543795449144,-10.623787,2.6474264,16.912654908753364
image_0044,0,-3.3366389577688325,9.138033982682234,0.38777938,-2.111638,17.865189210244953
image_0045,0,-18.41545682907783,13.490455200630734,-10.802886,3.294278,20.96888785460002
image_0046,0,-29.37271867366452,10.57753659918762,-11.883606,4.7331014,22.275712936765693
image_0047,0,-31.77632612421649,16.4353226975797,-12.339216,5.393274,27.155968919747917
image_0048,0,-19.911036822272816,6.486140866597696,-9.509058,3.7664447,13.743754186644257
image_0049,0,-30.82313302452171,6.4989271446339645,-12.187209,3.4191113,23.219624618862284
image_0050,0,-42.40554856797313,6.4832309306852185,-13.509495,4.698591,32.29747941272265
image_0051,1,12.991250162114445,-7.0530574111568844,4.9973125,0.86197186,19.3617059686461
image_0052,0,3.532967973092821,-5.195143214836479,1.2498292,2.2134144,21.75270314155681
